Period,Provider Org Name,WaitCategory,Patients
2025-04-01,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",Other,1028.0
2025-04-01,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",0-18 Weeks,6.0
2025-04-01,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",18-52 Weeks,2.0
2025-04-01,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",Other,92.0
2025-04-01,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",0-18 Weeks,260.0
2025-04-01,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",18-52 Weeks,182.0
2025-04-01,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",52+ Weeks,60.0
2025-04-01,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",Other,3392.0
2025-04-01,"NUFFIELD HEALTH, DERBY HOSPITAL",0-18 Weeks,214.0
2025-04-01,"NUFFIELD HEALTH, DERBY HOSPITAL",18-52 Weeks,232.0
2025-04-01,"NUFFIELD HEALTH, DERBY HOSPITAL",52+ Weeks,30.0
2025-04-01,"NUFFIELD HEALTH, DERBY HOSPITAL",Other,3872.0
2025-04-01,"NUFFIELD HEALTH, EXETER HOSPITAL",0-18 Weeks,48.0
2025-04-01,"NUFFIELD HEALTH, EXETER HOSPITAL",18-52 Weeks,44.0
2025-04-01,"NUFFIELD HEALTH, EXETER HOSPITAL",52+ Weeks,22.0
2025-04-01,"NUFFIELD HEALTH, EXETER HOSPITAL",Other,1312.0
2025-04-01,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",0-18 Weeks,106.0
2025-04-01,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",18-52 Weeks,38.0
2025-04-01,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",52+ Weeks,36.0
2025-04-01,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",Other,1254.0
2025-04-01,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",0-18 Weeks,156.0
2025-04-01,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",18-52 Weeks,60.0
2025-04-01,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",52+ Weeks,2.0
2025-04-01,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",Other,992.0
2025-04-01,"NUFFIELD HEALTH, HEREFORD HOSPITAL",0-18 Weeks,188.0
2025-04-01,"NUFFIELD HEALTH, HEREFORD HOSPITAL",18-52 Weeks,38.0
2025-04-01,"NUFFIELD HEALTH, HEREFORD HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, HEREFORD HOSPITAL",Other,544.0
2025-04-01,"NUFFIELD HEALTH, LEEDS HOSPITAL",0-18 Weeks,470.0
2025-04-01,"NUFFIELD HEALTH, LEEDS HOSPITAL",18-52 Weeks,224.0
2025-04-01,"NUFFIELD HEALTH, LEEDS HOSPITAL",52+ Weeks,38.0
2025-04-01,"NUFFIELD HEALTH, LEEDS HOSPITAL",Other,4268.0
2025-04-01,"NUFFIELD HEALTH, LEICESTER HOSPITAL",0-18 Weeks,332.0
2025-04-01,"NUFFIELD HEALTH, LEICESTER HOSPITAL",18-52 Weeks,20.0
2025-04-01,"NUFFIELD HEALTH, LEICESTER HOSPITAL",52+ Weeks,2.0
2025-04-01,"NUFFIELD HEALTH, LEICESTER HOSPITAL",Other,1352.0
2025-04-01,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",0-18 Weeks,74.0
2025-04-01,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",18-52 Weeks,156.0
2025-04-01,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",52+ Weeks,8.0
2025-04-01,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",Other,1988.0
2025-04-01,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",0-18 Weeks,620.0
2025-04-01,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",18-52 Weeks,340.0
2025-04-01,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",52+ Weeks,22.0
2025-04-01,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",Other,3736.0
2025-04-01,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",0-18 Weeks,120.0
2025-04-01,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",18-52 Weeks,134.0
2025-04-01,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",52+ Weeks,8.0
2025-04-01,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",Other,3124.0
2025-04-01,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",0-18 Weeks,32.0
2025-04-01,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",18-52 Weeks,36.0
2025-04-01,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",Other,688.0
2025-04-01,"NUFFIELD HEALTH, TAUNTON HOSPITAL",0-18 Weeks,12.0
2025-04-01,"NUFFIELD HEALTH, TAUNTON HOSPITAL",18-52 Weeks,82.0
2025-04-01,"NUFFIELD HEALTH, TAUNTON HOSPITAL",52+ Weeks,2.0
2025-04-01,"NUFFIELD HEALTH, TAUNTON HOSPITAL",Other,874.0
2025-04-01,"NUFFIELD HEALTH, TEES HOSPITAL",0-18 Weeks,748.0
2025-04-01,"NUFFIELD HEALTH, TEES HOSPITAL",18-52 Weeks,202.0
2025-04-01,"NUFFIELD HEALTH, TEES HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, TEES HOSPITAL",Other,3768.0
2025-04-01,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",0-18 Weeks,58.0
2025-04-01,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",18-52 Weeks,36.0
2025-04-01,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",Other,1092.0
2025-04-01,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",0-18 Weeks,38.0
2025-04-01,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",18-52 Weeks,44.0
2025-04-01,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",Other,584.0
2025-04-01,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",0-18 Weeks,190.0
2025-04-01,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",18-52 Weeks,38.0
2025-04-01,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",Other,620.0
2025-04-01,"NUFFIELD HEALTH, WESSEX HOSPITAL",0-18 Weeks,152.0
2025-04-01,"NUFFIELD HEALTH, WESSEX HOSPITAL",18-52 Weeks,76.0
2025-04-01,"NUFFIELD HEALTH, WESSEX HOSPITAL",52+ Weeks,2.0
2025-04-01,"NUFFIELD HEALTH, WESSEX HOSPITAL",Other,1602.0
2025-04-01,"NUFFIELD HEALTH, WOKING HOSPITAL",0-18 Weeks,240.0
2025-04-01,"NUFFIELD HEALTH, WOKING HOSPITAL",18-52 Weeks,96.0
2025-04-01,"NUFFIELD HEALTH, WOKING HOSPITAL",52+ Weeks,6.0
2025-04-01,"NUFFIELD HEALTH, WOKING HOSPITAL",Other,1920.0
2025-04-01,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",0-18 Weeks,238.0
2025-04-01,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",18-52 Weeks,36.0
2025-04-01,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",52+ Weeks,2.0
2025-04-01,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",Other,1498.0
2025-04-01,"NUFFIELD HEALTH, YORK HOSPITAL",0-18 Weeks,422.0
2025-04-01,"NUFFIELD HEALTH, YORK HOSPITAL",18-52 Weeks,66.0
2025-04-01,"NUFFIELD HEALTH, YORK HOSPITAL",52+ Weeks,0.0
2025-04-01,"NUFFIELD HEALTH, YORK HOSPITAL",Other,1416.0
2025-04-01,NUFFIELD HOSPITAL OXFORD (THE MANOR),0-18 Weeks,56.0
2025-04-01,NUFFIELD HOSPITAL OXFORD (THE MANOR),18-52 Weeks,0.0
2025-04-01,NUFFIELD HOSPITAL OXFORD (THE MANOR),52+ Weeks,2.0
2025-04-01,NUFFIELD HOSPITAL OXFORD (THE MANOR),Other,180.0
2025-04-01,OAKLANDS HOSPITAL,0-18 Weeks,1882.0
2025-04-01,OAKLANDS HOSPITAL,18-52 Weeks,384.0
2025-04-01,OAKLANDS HOSPITAL,52+ Weeks,8.0
2025-04-01,OAKLANDS HOSPITAL,Other,8144.0
2025-04-01,OAKS HOSPITAL,0-18 Weeks,204.0
2025-04-01,OAKS HOSPITAL,18-52 Weeks,68.0
2025-04-01,OAKS HOSPITAL,52+ Weeks,6.0
2025-04-01,OAKS HOSPITAL,Other,1450.0
2025-04-01,OMNES HEALTHCARE LTD,0-18 Weeks,4168.0
2025-04-01,OMNES HEALTHCARE LTD,18-52 Weeks,356.0
2025-04-01,OMNES HEALTHCARE LTD,52+ Weeks,4.0
2025-04-01,OMNES HEALTHCARE LTD,Other,17962.0
2025-04-01,OPTEGRA UK,0-18 Weeks,7938.0
2025-04-01,OPTEGRA UK,18-52 Weeks,50.0
2025-04-01,OPTEGRA UK,52+ Weeks,0.0
2025-04-01,OPTEGRA UK,Other,11392.0
2025-04-01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,0-18 Weeks,54.0
2025-04-01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,18-52 Weeks,36.0
2025-04-01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,52+ Weeks,0.0
2025-04-01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,Other,430.0
2025-04-01,OVIVA UK LTD,0-18 Weeks,4344.0
2025-04-01,OVIVA UK LTD,18-52 Weeks,2.0
2025-04-01,OVIVA UK LTD,52+ Weeks,0.0
2025-04-01,OVIVA UK LTD,Other,9278.0
2025-04-01,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,38302.0
2025-04-01,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,10384.0
2025-04-01,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,1278.0
2025-04-01,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Other,193604.0
2025-04-01,OXLEAS NHS FOUNDATION TRUST,0-18 Weeks,692.0
2025-04-01,OXLEAS NHS FOUNDATION TRUST,18-52 Weeks,166.0
2025-04-01,OXLEAS NHS FOUNDATION TRUST,52+ Weeks,54.0
2025-04-01,OXLEAS NHS FOUNDATION TRUST,Other,3752.0
2025-04-01,PARK HILL HOSPITAL,0-18 Weeks,346.0
2025-04-01,PARK HILL HOSPITAL,18-52 Weeks,88.0
2025-04-01,PARK HILL HOSPITAL,52+ Weeks,4.0
2025-04-01,PARK HILL HOSPITAL,Other,1638.0
2025-04-01,PARK HOSPITAL,0-18 Weeks,614.0
2025-04-01,PARK HOSPITAL,18-52 Weeks,126.0
2025-04-01,PARK HOSPITAL,52+ Weeks,8.0
2025-04-01,PARK HOSPITAL,Other,2504.0
2025-04-01,PHOENIX HEALTH SOLUTIONS LIMITED HQ,0-18 Weeks,1094.0
2025-04-01,PHOENIX HEALTH SOLUTIONS LIMITED HQ,18-52 Weeks,26.0
2025-04-01,PHOENIX HEALTH SOLUTIONS LIMITED HQ,52+ Weeks,0.0
2025-04-01,PHOENIX HEALTH SOLUTIONS LIMITED HQ,Other,1422.0
2025-04-01,PHOENIX PUBLIC HEALTH LTD,0-18 Weeks,72.0
2025-04-01,PHOENIX PUBLIC HEALTH LTD,18-52 Weeks,32.0
2025-04-01,PHOENIX PUBLIC HEALTH LTD,52+ Weeks,4.0
2025-04-01,PHOENIX PUBLIC HEALTH LTD,Other,710.0
2025-04-01,PINEHILL HOSPITAL,0-18 Weeks,722.0
2025-04-01,PINEHILL HOSPITAL,18-52 Weeks,144.0
2025-04-01,PINEHILL HOSPITAL,52+ Weeks,2.0
2025-04-01,PINEHILL HOSPITAL,Other,3074.0
2025-04-01,PIONEER HEALTHCARE LIMITED,0-18 Weeks,896.0
2025-04-01,PIONEER HEALTHCARE LIMITED,18-52 Weeks,602.0
2025-04-01,PIONEER HEALTHCARE LIMITED,52+ Weeks,184.0
2025-04-01,PIONEER HEALTHCARE LIMITED,Other,7440.0
2025-04-01,PLYMOUTH NEWMEDICA LTD,0-18 Weeks,766.0
2025-04-01,PLYMOUTH NEWMEDICA LTD,18-52 Weeks,6.0
2025-04-01,PLYMOUTH NEWMEDICA LTD,52+ Weeks,0.0
2025-04-01,PLYMOUTH NEWMEDICA LTD,Other,1290.0
2025-04-01,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,0-18 Weeks,24792.0
2025-04-01,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,18-52 Weeks,6996.0
2025-04-01,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,52+ Weeks,1384.0
2025-04-01,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,Other,133422.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,0-18 Weeks,884.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,18-52 Weeks,322.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,52+ Weeks,2.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,Other,6522.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,0-18 Weeks,2862.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,18-52 Weeks,850.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,52+ Weeks,6.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,Other,14006.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - ILFORD,0-18 Weeks,3798.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - ILFORD,18-52 Weeks,890.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - ILFORD,52+ Weeks,6.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - ILFORD,Other,13646.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,0-18 Weeks,1740.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,18-52 Weeks,136.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,52+ Weeks,12.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,Other,4398.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,0-18 Weeks,1710.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,18-52 Weeks,398.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,52+ Weeks,6.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,Other,7876.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0-18 Weeks,3724.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,18-52 Weeks,1142.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,52+ Weeks,24.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,Other,20594.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,0-18 Weeks,330.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,18-52 Weeks,0.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,52+ Weeks,0.0
2025-04-01,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,Other,482.0
2025-04-01,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,0-18 Weeks,1572.0
2025-04-01,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,18-52 Weeks,76.0
2025-04-01,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,52+ Weeks,0.0
2025-04-01,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,Other,3028.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,0-18 Weeks,1252.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,18-52 Weeks,596.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,52+ Weeks,14.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,Other,8002.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,0-18 Weeks,1184.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,18-52 Weeks,36.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,52+ Weeks,92.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,Other,2938.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0-18 Weeks,2914.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,18-52 Weeks,150.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,52+ Weeks,0.0
2025-04-01,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,Other,5094.0
2025-04-01,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,0-18 Weeks,824.0
2025-04-01,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,18-52 Weeks,334.0
2025-04-01,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,52+ Weeks,280.0
2025-04-01,PRIMARY INTEGRATED COMMUNITY SERVICES LTD,Other,6096.0
2025-04-01,PRINCESS MARGARET HOSPITAL,0-18 Weeks,84.0
2025-04-01,PRINCESS MARGARET HOSPITAL,18-52 Weeks,6.0
2025-04-01,PRINCESS MARGARET HOSPITAL,52+ Weeks,0.0
2025-04-01,PRINCESS MARGARET HOSPITAL,Other,224.0
2025-04-01,PRIORY HOSPITAL,0-18 Weeks,320.0
2025-04-01,PRIORY HOSPITAL,18-52 Weeks,88.0
2025-04-01,PRIORY HOSPITAL,52+ Weeks,0.0
2025-04-01,PRIORY HOSPITAL,Other,1988.0
2025-04-01,PROBUS SURGICAL CENTRE,0-18 Weeks,738.0
2025-04-01,PROBUS SURGICAL CENTRE,18-52 Weeks,68.0
2025-04-01,PROBUS SURGICAL CENTRE,52+ Weeks,2.0
2025-04-01,PROBUS SURGICAL CENTRE,Other,3316.0
2025-04-01,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,6194.0
2025-04-01,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,2288.0
2025-04-01,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,270.0
2025-04-01,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,Other,43392.0
2025-04-01,RAPID INVESTIGATION SERVICE,0-18 Weeks,424.0
2025-04-01,RAPID INVESTIGATION SERVICE,18-52 Weeks,0.0
2025-04-01,RAPID INVESTIGATION SERVICE,52+ Weeks,0.0
2025-04-01,RAPID INVESTIGATION SERVICE,Other,154.0
2025-04-01,RENACRES HOSPITAL,0-18 Weeks,1978.0
2025-04-01,RENACRES HOSPITAL,18-52 Weeks,464.0
2025-04-01,RENACRES HOSPITAL,52+ Weeks,8.0
2025-04-01,RENACRES HOSPITAL,Other,8434.0
2025-04-01,RIDGEWAY HOSPITAL,0-18 Weeks,120.0
2025-04-01,RIDGEWAY HOSPITAL,18-52 Weeks,26.0
2025-04-01,RIDGEWAY HOSPITAL,52+ Weeks,2.0
2025-04-01,RIDGEWAY HOSPITAL,Other,872.0
2025-04-01,RIVERS HOSPITAL,0-18 Weeks,1728.0
2025-04-01,RIVERS HOSPITAL,18-52 Weeks,436.0
2025-04-01,RIVERS HOSPITAL,52+ Weeks,24.0
2025-04-01,RIVERS HOSPITAL,Other,7952.0
2025-04-01,ROWLEY HALL HOSPITAL,0-18 Weeks,920.0
2025-04-01,ROWLEY HALL HOSPITAL,18-52 Weeks,262.0
2025-04-01,ROWLEY HALL HOSPITAL,52+ Weeks,2.0
2025-04-01,ROWLEY HALL HOSPITAL,Other,5088.0
2025-04-01,ROYAL BERKSHIRE NHS FOUNDATION TRUST,0-18 Weeks,13616.0
2025-04-01,ROYAL BERKSHIRE NHS FOUNDATION TRUST,18-52 Weeks,4050.0
2025-04-01,ROYAL BERKSHIRE NHS FOUNDATION TRUST,52+ Weeks,22.0
2025-04-01,ROYAL BERKSHIRE NHS FOUNDATION TRUST,Other,73248.0
2025-04-01,ROYAL CORNWALL HOSPITALS NHS TRUST,0-18 Weeks,26236.0
2025-04-01,ROYAL CORNWALL HOSPITALS NHS TRUST,18-52 Weeks,4516.0
2025-04-01,ROYAL CORNWALL HOSPITALS NHS TRUST,52+ Weeks,320.0
2025-04-01,ROYAL CORNWALL HOSPITALS NHS TRUST,Other,91708.0
2025-04-01,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,0-18 Weeks,36910.0
2025-04-01,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,18-52 Weeks,9250.0
2025-04-01,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,52+ Weeks,1072.0
2025-04-01,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,Other,171222.0
2025-04-01,ROYAL FREE LONDON NHS FOUNDATION TRUST,0-18 Weeks,50340.0
2025-04-01,ROYAL FREE LONDON NHS FOUNDATION TRUST,18-52 Weeks,16820.0
2025-04-01,ROYAL FREE LONDON NHS FOUNDATION TRUST,52+ Weeks,1706.0
2025-04-01,ROYAL FREE LONDON NHS FOUNDATION TRUST,Other,292642.0
2025-04-01,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0-18 Weeks,4258.0
2025-04-01,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,18-52 Weeks,1188.0
2025-04-01,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,52+ Weeks,34.0
2025-04-01,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,Other,19654.0
2025-04-01,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,2354.0
2025-04-01,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,1068.0
2025-04-01,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,38.0
2025-04-01,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,Other,17514.0
2025-04-01,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,0-18 Weeks,10772.0
2025-04-01,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,18-52 Weeks,3396.0
2025-04-01,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,52+ Weeks,570.0
2025-04-01,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,Other,64538.0
2025-04-01,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,0-18 Weeks,17962.0
2025-04-01,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,18-52 Weeks,4398.0
2025-04-01,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,52+ Weeks,286.0
2025-04-01,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,Other,85762.0
2025-04-01,RUNNYMEDE HOSPITAL,0-18 Weeks,64.0
2025-04-01,RUNNYMEDE HOSPITAL,18-52 Weeks,8.0
2025-04-01,RUNNYMEDE HOSPITAL,52+ Weeks,0.0
2025-04-01,RUNNYMEDE HOSPITAL,Other,238.0
2025-04-01,SALISBURY NHS FOUNDATION TRUST,0-18 Weeks,14214.0
2025-04-01,SALISBURY NHS FOUNDATION TRUST,18-52 Weeks,2600.0
2025-04-01,SALISBURY NHS FOUNDATION TRUST,52+ Weeks,294.0
2025-04-01,SALISBURY NHS FOUNDATION TRUST,Other,59002.0
2025-04-01,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,0-18 Weeks,30370.0
2025-04-01,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,18-52 Weeks,8082.0
2025-04-01,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,52+ Weeks,1152.0
2025-04-01,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,Other,141820.0
2025-04-01,SARUM ROAD HOSPITAL,0-18 Weeks,114.0
2025-04-01,SARUM ROAD HOSPITAL,18-52 Weeks,74.0
2025-04-01,SARUM ROAD HOSPITAL,52+ Weeks,0.0
2025-04-01,SARUM ROAD HOSPITAL,Other,886.0
2025-04-01,SAXON CLINIC,0-18 Weeks,156.0
2025-04-01,SAXON CLINIC,18-52 Weeks,102.0
2025-04-01,SAXON CLINIC,52+ Weeks,14.0
2025-04-01,SAXON CLINIC,Other,1570.0
2025-04-01,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,0-18 Weeks,6180.0
2025-04-01,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,18-52 Weeks,1418.0
2025-04-01,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,52+ Weeks,144.0
2025-04-01,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Other,29440.0
2025-04-01,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,47388.0
2025-04-01,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,9980.0
2025-04-01,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,814.0
2025-04-01,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,Other,187848.0
2025-04-01,SHELBURNE HOSPITAL,0-18 Weeks,34.0
2025-04-01,SHELBURNE HOSPITAL,18-52 Weeks,24.0
2025-04-01,SHELBURNE HOSPITAL,52+ Weeks,0.0
2025-04-01,SHELBURNE HOSPITAL,Other,370.0
2025-04-01,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,13602.0
2025-04-01,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,4258.0
2025-04-01,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,264.0
2025-04-01,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,Other,76244.0
2025-04-01,SHIRLEY OAKS HOSPITAL,0-18 Weeks,570.0
